type,name,description
bunker,Старый бункер в лесополосе,"Старый бункер построенный в военные годы, проводка и трубы уже старые и кое-где необходим ремонт. Местоположение бункера в лесополосе, за городом. Так что при выходе из него нам нужно ещё как-то выбраться из леса. Бункер хоть и старый но довольно большой на 180кв метров. Сам бункер поделен на комнаты одна из которых склад, кухня, а также техническое помещение."
bunker,Древний полуразвалившийся бункер в лесополосе,"Бункер настолько старый, что на него страшно смотреть, выжить можно в нем только потому, что он находится достаточно глубоко под землёй и в нём есть кое-какие запасы. Площадь не очень большая порядка 60кв метров. Место нахождение бункера - глубоко в тайге, и после того как мы переждём бурю, нам необходимо быть готовыми добраться до разрушенных городов и деревень. Свет довольно тусклый и отдельных комнат в нём нет, так что придётся уживаться всем вместе либо что-то придумать."
bunker,Бункер - метро,"Метро в центре города - это наш бункер где мы переждём катаклизм. Тут довольно просторно, общая площадь 190кв метров. Единственная проблема это большие и сложные коммуникации, нам потребуется какой-то технарь, чтобы мы знали как устранить неисправность в случае её обнаружения. А еще людей которые знают этот город."""
bunker,Современный бункер в горах,"Современный бункер, находится рядом с действующей (на тот момент когда ещё жива была цивилизация) военной базой. Местонахождение - горная местность. Яркий свет светодиодных ламп, запасы оружия и еды это всё что нам нужно чтобы переждать бурю катастрофы. Общая комната для всех, здесь нет перегородок на комнаты, пожалуй единственный минус. Общая площадь 90кв метров."
bunker,Бункер на военной базе,"Современный бункер, находится рядом с действующей (на тот момент когда ещё жива была цивилизация) военной базой. Местонахождение - горная местность. Яркий свет светодиодных ламп, запасы оружия и еды это всё что нам нужно чтобы переждать бурю катастрофы. Общая комната для всех - здесь нет перегородок на комнаты, пожалуй единственный минус. Общая площадь 90кв метров."
bunker,Бункер в пустыне,"Бункер, утопающий в безжизненной пустыне пост-апокалипсиса, олицетворяет заброшенное убежище, но все еще способное подарить убежище уцелевшим. Стены, устоявшие перед лицом времени, слегка осыпаются, но все же удерживают страшную реальность за пределами. Внутри, бункер может вместить небольшое количество людей. Коммуникации старые, но функциональные, включают в себя систему вентиляции, а также жизненно важную систему фильтрации воды. Хотя бункер не может похвастаться излишним уютом, но наличие базовых удобств и тепла от старого, но бодрого генератора делает его более приемлемым местом для выживания в мире, где жизнь стала роскошью."
bunker,Бункер в лесу,"Современный бункер, укрывшийся в глубинах зеленого леса, представляет собой небольшой, но эффективно спланированный комплекс, способный удовлетворить потребности небольшой группы выживших. Бункер оборудован всеми необходимыми коммуникациями: водоснабжением, электропитанием, системой вентиляции, а также имеет надежную систему защиты от радиации. Вместимость бункера ограничена его размерами и способна вместить не большое количество человек. Однако, несмотря на все его преимущества, существуют и недостатки: ограниченные запасы продовольствия и медикаментов, а также отсутствие возможности долгосрочного выращивания культур или получения пищи извне, что может стать проблемой при длительном пребывании."
bunker,Горный бункер,"В глубине гор, затаившийся под слоем земли и камней, находится бункер, построенный за 30 лет до катастрофы. Это укрепление среднего размера, спроектированное таким образом, чтобы обеспечить безопасное пребывание людей на протяжении длительного времени. Внутри присутствуют все необходимые коммуникации: система вентиляции, подачи воды и электричества, однако, со временем они начинают выходить из строя из-за недостатка обслуживания и запасных частей. Главным недостатком бункера является одна из комнат - складское помещение, изначально предназначенное для хранения продовольствия и оборудования. С течением времени оно стало убежищем для различных вредителей и плесени, что сделало его непригодным для использования и представляет угрозу здоровью обитателей бункера."
bunker,Бункер построенный для богатых,"В центре разрушенного мегаполиса, в тени обломков небоскребов, находится бункер, построенный в середине 21-го века. Он был спроектирован как ультрасовременный убежище для богатых и влиятельных, с автономными системами жизнеобеспечения, высокотехнологичной защитой и роскошными удобствами. Несмотря на внешние разрушения, бункер остается неповрежденным и функциональным, предлагая комфорт и защиту в сердце хаоса."
bunker,Бункер на опушке леса,"На опушке заброшенного леса, под землей, расположен бункер, построенный во второй половине 20-го века. Этот ржавый стальной гигант был когда-то частью сложной оборонной сети, но теперь остался заброшенным и забытым. Его устаревшие технологии и оборудование требуют ремонта, но его толстые стены и глубокое расположение делают его отличным местом для укрытия от бедствий постапокалипсиса."
